"Box Name","Floor","Room Name","Condioned 
Floor Area","Volume","Perimeter",
"Basement Center(2)","1","Basement Center","408","3264","92",
"Basement West(1)","1","Basement West","134.75","1078","60",
"Basement Center(1)","1","Basement Center","425","3400","93",
"Basement East(1)","1","Basement East","96.25","770","46",
"Living(2)","2","Living","271.25","2441.25","0",
"Front Bedroom(1)","2","Front Bedroom","155.25","1397.25","0",
"Living(1)","2","Living","15","135","0",
"Front Stairs(2)","2","Front Stairs","35","315","0",
"Front Stairs(1)","2","Front Stairs","20","180","0",
"Dining(1)","2","Dining","175.5","1579.5","0",
"Bathroom(1)","2","Bathroom","42","378","0",
"Kitchen(1)","2","Kitchen","125","1125","0",
"Kitchen(2)","2","Kitchen","30","270","0",
"Back stairs(1)","2","Back stairs","75","675","0",
"Mainfloor Closets(1)","2","Mainfloor Closets","20","180","0",
"Back Bedroom(1)","2","Back Bedroom","175","1575","0",
"Laundry(1)","2","Laundry","75","675","0",
"Up Bathroom(1)","3","Up Bathroom","42","378","0",
"Up Laundry / Hallway(1)","3","Up Laundry / Hallway","125","1125","0",
"Up Laundry / Hallway(2)","3","Up Laundry / Hallway","30","270","0",
"Up Front Bedroom(1)","3","Up Front Bedroom","162","1458","0",
"Gameroom(1)","3","Gameroom","168.75","1518.75","0",
"Upstairs closets(1)","3","Upstairs closets","20","180","0",
"Second Master(1)","3","Second Master","175","1575","0",
"Gameroom(2)","3","Gameroom","38.5","346.5","0",
"Master(1)","3","Master","271.25","2441.25","0",
"Master Closet(1)","3","Master Closet","31.5","283.5","0",
"Up Back Bedroom(2)","3","Up Back Bedroom","75","675","0",
"Up Back Bedroom(1)","3","Up Back Bedroom","108.75","978.75","0",
"Total","---","---","3525.75","30667.75","291",
