"Window Name","Room","Type Name","Direction","Azimuth","Tilt","Area","Touching","Overhang Height(ft)","Overhang Length(ft)","SC",
"L1","Living(2)","1P.wood.clear","Left","W","90","53.47","Outside","0","0","1",
"B4","Living(2)","1P.wood.clear","Back","N","90","10.69","Outside","0","0","1",
"F1","Living(2)","1P.wood.clear","Front","S","90","10.69","Outside","0","0","1",
"F2","Front Bedroom(1)","1P.wood.clear","Front","S","90","21.39","Outside","0","0","1",
"B3","Front Stairs(2)","1P.wood.clear","Back","N","90","10.69","Outside","0","0","1",
"B1","Dining(1)","1P.wood.clear","Back","N","90","21.39","Outside","0","0","1",
"F3","Bathroom(1)","1P.wood.clear","Front","S","90","10.69","Outside","0","0","1",
"B2","Kitchen(1)","1P.wood.clear","Back","N","90","10.69","Outside","0","0","1",
"F4","Back Bedroom(1)","1P.wood.clear","Front","S","90","21.39","Outside","0","0","1",
"F5","Back Bedroom(1)","1P.wood.clear","Front","S","90","21.39","Outside","0","0","1",
"R1","Back Bedroom(1)","1P.wood.clear","Right","E","90","32.47","Outside","0","0","1",
"R2","Laundry(1)","1P.wood.clear","Right","E","90","21.39","Outside","0","0","1",
"F8","Up Bathroom(1)","1P.wood.clear","Front","S","90","10.69","Outside","0","0","1",
"B6","Up Laundry / Hallway(1)","1P.wood.clear","Back","N","90","10.69","Outside","0","0","1",
"F7","Up Front Bedroom(1)","1P.wood.clear","Front","S","90","21.39","Outside","0","0","1",
"B7","Gameroom(1)","1P.wood.clear","Back","N","90","21.39","Outside","0","0","1",
"F9","Second Master(1)","1P.wood.clear","Front","S","90","21.39","Outside","0","0","1",
"F10","Second Master(1)","1P.wood.clear","Front","S","90","21.39","Outside","0","0","1",
"R3","Second Master(1)","1P.wood.clear","Right","E","90","32.47","Outside","0","0","1",
"B9","Gameroom(2)","1P.wood.clear","Back","N","90","10.69","Outside","0","0","1",
"F6","Master(1)","1P.wood.clear","Front","S","90","10.69","Outside","0","0","1",
"B10","Master(1)","1P.wood.clear","Back","N","90","10.69","Outside","0","0","1",
"L3","Master(1)","1P.wood.clear","Left","W","90","53.47","Outside","0","0","1",
"L2","Master Closet(1)","1P.wood.clear","Left","W","90","10.69","Outside","0","0","1",
"B5","Up Back Bedroom(2)","1P.wood.clear","Back","N","90","10.69","Outside","0","0","1",
"R4","Up Back Bedroom(1)","1P.wood.clear","Right","E","90","21.39","Outside","0","0","1",
"R5","Up Back Bedroom(1)","1P.wood.clear","Right","E","90","10.69","Outside","0","0","1",
"B8","Up Back Bedroom(1)","1P.wood.clear","Back","N","90","10.69","Outside","0","0","1",
"Total","---","---","---","---","---","535.49","---","---","---","---",
